"","Date","Water_Year","Acre_Feet","Million_Acre_Feet","Upper_Basin_Supply","Ten_Year_Average","UB_10yr_Avg"
"1","1906-01-01",1906,18214678,18.214678,9.964678,NA,NA
"2","1907-01-01",1907,21234305,21.234305,12.984305,NA,NA
"3","1908-01-01",1908,11773952,11.773952,3.523952,NA,NA
"4","1909-01-01",1909,21841427,21.841427,13.591427,NA,NA
"5","1910-01-01",1910,14736670,14.73667,6.48667,NA,NA
"6","1911-01-01",1911,15125081,15.125081,6.875081,NA,NA
"7","1912-01-01",1912,19082127,19.082127,10.832127,NA,NA
"8","1913-01-01",1913,14472192,14.472192,6.222192,NA,NA
"9","1914-01-01",1914,21066767,21.066767,12.816767,NA,NA
"10","1915-01-01",1915,14137603,14.137603,5.887603,17.1684802,8.9184802
"11","1916-01-01",1916,19187542,19.187542,10.937542,17.2657666,9.0157666
"12","1917-01-01",1917,23849259,23.849259,15.599259,17.527262,9.277262
"13","1918-01-01",1918,15750724,15.750724,7.500724,17.9249392,9.6749392
"14","1919-01-01",1919,12951469,12.951469,4.701469,17.0359434,8.7859434
"15","1920-01-01",1920,21927976,21.927976,13.677976,17.755074,9.505074
"16","1921-01-01",1921,22703070,22.70307,14.45307,18.5128729,10.2628729
"17","1922-01-01",1922,18524420,18.52442,10.27442,18.4571022,10.2071022
"18","1923-01-01",1923,18327468,18.327468,10.077468,18.8426298,10.5926298
"19","1924-01-01",1924,14650942,14.650942,6.400942,18.2010473,9.9510473
"20","1925-01-01",1925,13514438,13.514438,5.264438,18.1387308,9.8887308
"21","1926-01-01",1926,16248626,16.248626,7.998626,17.8448392,9.5948392
"22","1927-01-01",1927,18689765,18.689765,10.439765,17.3288898,9.0788898
"23","1928-01-01",1928,17770602,17.770602,9.520602,17.5308776,9.2808776
"24","1929-01-01",1929,21791156,21.791156,13.541156,18.4148463,10.1648463
"25","1930-01-01",1930,15130571,15.130571,6.880571,17.7351058,9.4851058
"26","1931-01-01",1931,8868682,8.868682,0.618682,16.351667,8.101667
"27","1932-01-01",1932,17809509,17.809509,9.559509,16.2801759,8.0301759
"28","1933-01-01",1933,12312744,12.312744,4.062744,15.6787035,7.4287035
"29","1934-01-01",1934,6589700,6.5897,-1.6603,14.8725793,6.6225793
"30","1935-01-01",1935,12248940,12.24894,3.99894,14.7460295,6.4960295
"31","1936-01-01",1936,14521432,14.521432,6.271432,14.5733101,6.3233101
"32","1937-01-01",1937,14159154,14.159154,5.909154,14.120249,5.870249
"33","1938-01-01",1938,17918453,17.918453,9.668453,14.1350341,5.8850341
"34","1939-01-01",1939,11699708,11.699708,3.449708,13.1258893,4.8758893
"35","1940-01-01",1940,9422918,9.422918,1.172918,12.555124,4.305124
"36","1941-01-01",1941,18269619,18.269619,10.019619,13.4952177,5.2452177
"37","1942-01-01",1942,19333147,19.333147,11.083147,13.6475815,5.3975815
